Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Delpit, Lisa","Other People's Children",,3,PB,,,2012S
"Dement, William C.","Promise of Sleep",8,,PB,440509017,,
"Denny, Frederick Mathewson","An Introduction to Islam",3,,PB,131835637,,
"Dent, Jim","Junction Boys",1,,PB,31226755X,,
"Der, Geoff & Brian S. Everitt","Basic Statistics Using SAS Enterprise Guide Primer",1,,PB,1599945736,Mathematics,
"Derber, Charles","Pursuit of Attention: Power and Ego in Everyday Life",2,18,PB,,,2012S
"Derry, Gregory N.","What Science Is and How It Works",3,,HB,691058776,,
"Desai, Anita","In Custody",4,,PB,140238131,,2011S
Descartes,"Meditations on First Philosophy",,,PB,521558181,,2011S
Descartes,"Selected Philosophical Writings",,2,PB,521358125,,2011S
"Descartes, Rene","Discourse on Method and Meditations and Principles",,3,PB,46087411X,,
"Descartes, Rene","Discourse on Method and Meditations on First Philosophy",4,2,PB,872204200,,
"Descartes, Rene","Discourse on Method and Related Writings",3,,PB,140446990,,
"Descartes, Rene","Discourse on Method and the Meditations",,4,PB,,,2012S
"Descartes, Rene","Meditations and Other Metaphysical Writings",4,,PB,140447016,,
"Descartes, Rene","Meditations on First Philosophy",,6,PB,,,2011S
"Descartes, Rene","Selected Philosophical Writings",,,PB,521358124,,
"Descartes, Rene","World and Other Writings",,,PB,521636469,,
"Destler, I.M. & Peter J. Balint","New Politics of American Trade: Trade, Labor, and the Environment",1,,PB,881322695,,
"Dettwyler, Katherine A.","Dancing Skeletons: Life and Death in West Africa",15,10,PB,88133748X,,
"DeVeaux, Scott & Gary Giddins",Jazz,2,,PB,393978803,,2012S
"Devlin, Thomas M.","Textbook of Biochemistry with Clinical Correlations",3,,HB,471513482,Chemistry,
"di Lampedusa, Giuseppe",Leopard,5,2,PB,375714795,,2011S
"Diamond, Jared",Collapse,1,,PB,143036556,,2011S
"Diamond, Larry","Developing Democracy",3,2,PB,80186156X,,
"Diaz, Junot & Paula Fox & Yiyun Li et al.","Pen/O. Henry Prize Stories: Best Stories of the Year 2010",3,,PB,307472366,,2012S
"Dickens, Charles","Bleak House",,,PB,1853260827,,2012S
"Dickens, Charles","Hard Times",,2,PB,486419207,,
"Dickens, Charles","Tale of Two Cities",,2,,,,2011S
"Dicker, Rory","History of U.S. Feminisms",3,3,PB,1580052344,,2012S
"Dicker, Rory","History of U.S. Feminisms",4,,PB,1580052347,,2012S
"Dickinson, Emily","Final Harvest",,,PB,316184152,,2011S
Diderot,"Jacques le Fataliste et Son Maitre",,2,PB,2070367630,French,
Diderot,"Supplement au Voyage de Bougainville",,3,PB,2080702521,French,
"Diderot, Denis","Rameau's Nephew/D'Alembert's Dream",19,,PB,140441735,,
"Didion, Joan",Salvador,,,PB,671501747,,
"Dillard, Angela D.","Guess Who's Coming to Dinner Now?",1,,HB,814719392,,
"Dillon, John & Tania Louise Gergel","Greek Sophists",1,,PB,140436898,,2011S
"Dils, Ann & Ann Cooper Albright","Moving History/Dancing Culture",4,,PB,819564133,,
"Dinan, Stephen","Radical Spirit",1,,PB,157731199X,,
"Dini, Andrea & Graziana Lazzarino","Laboratory Manual to Accompany Prego! An Invitation to Italian",6,,PB,72883715,Italian,2010F
"Diop, Cheikh Anta","African Origin of Civilization Myth or Reality",,,PB,1556520727,,
"DiPrima, Diane","Pieces of a Song",3,,PB,872862372,,
"Dittmer, Lowell & Guoli Liu","China's Deep Reform: Domestic Politics in Transition",,,PB,742539318,,
"Dixit, Avinash K. & Barry J. Nalebuff","Art of Strategy",6,,HB,393062434,,2011S
"Dixit, Avinash K. & Barry J. Nalebuff","Thinking Strategically",,,PB,393310353,,
"Dixon, Simon","Modernisation of Russia 1676-1825",,,PB,52137961X,,
"Dobkin, Rachel & Shana Sippy","College Woman's Handbook",1,,PB,1563055597,,
"Dobrenko, Evgeny & Eric Naiman","Landscape of Stalinism",,,PB,295983418,,
"Docherty, Jayne Seminare","Little Book of Strategic Negotiation",,2,PB,1561484288,,
"Dodd, Lawrence C. & Bruce I. Oppenheimer","Congress Reconsidered",7,,PB,1568024878,,
"Dollenmayer, David B. & Thomas S. Hansen","Neue Horizonte",7,,HB,618954791,German,2012S
"Dombrowski, Kirk","Against Culture",,2,PB,803266324,,
"Dominguez, Jorge I. & Michael Shifter","Constructing Democratic Governance in Latin America",2,4,PB,801871204,,
"Donnelly, K.J.","Film Music Critical Approaches",,2,PB,826413579,,
"Doorenspleet, Renske","Democratic Transitions",1,,HB,1588263061,,
"Dorfman, Ariel","Heading South, Looking North",9,,PB,14028253X,,
"Dornbusch, Rudiger & Stanley Fischer & Richard Startz",Macroeconomics,8,,HB,72314850,Economics,
"Dornbusch, Rudiger & Stanley Fischer & Richard Startz",Macroeconomics,9,,HB,72939176,Economics,
"Dorris, Michael","Yellow Raft in Blue Water",1,,PB,312421850,,
"Dostoyevsky, Fyodor","Best Short Stories of Fyodor Dostoevsky",,3,PB,,,2011S
"Dostoyevsky, Fyodor","Crime and Punishment",,2,,,,2012S
"Dostoyevsky, Fyodor","Gambler/Bobok/A Nasty Story",18,,PB,140441794,,
"Dostoyevsky, Fyodor",Idiot,,,PB,140440542,,2012S
"Dostoyevsky, Fyodor","Notes From Underground",1,,PB,451529553,,2011S
"Douglas, J.H. & Denis Girard & W. Thompson","Cassell's French English Dictionary",8,,PB,20136803,French,
"Douglas, Kelly Brown","Black Christ",,,PB,883449390,,
"Douglass, Frederick","Narrative of the Life of Frederick Douglass",,9,PB,,,2012S
"Douglass, Frederick","Narrative of the Life of Frederick Douglass an American Slave Written by Himself",23,,PB,674601017,Floor,2012S
"Dow, Kirstin & Thomas E. Downing","Atlas of Climate Change",1,,PB,520255585,,
"Dower, John W.","War Without Mercy",,,PB,394751728,,
"Doyle, Sir Arthur Conan","Complete Sherlock Holmes Volume 1",9,,PB,1593080344,,
"Doyle, Tom","Instructor's Resource Guide for Plotnik's Introduction to Psychology",5,,PB,534361463,Psychology,
"Dozier, Edward P.","Pueblo Indians of North America",15,,PB,881330590,,
"Dozier, Eleanor & Zulma Iguina","Manual de Gramatica: Grammar Reference for Students of Spanish",2,3,PB,838498329,Spanish,
"Drake, George","Grinnell College History of Southern Africa HIS 261.01",,,PB,,Miscellaneous,
"Drake, Stillman","Galileo Two New Sciences",2,2,,,,
"Dreyer, June Teufel","China's Political System",3,,PB,205296408,,
"Dreyer, June Teufel","China's Political System",5,,PB,321355105,,
"Drucker, Peter F.","Post-Capitalist Society",2,,HB,887306209,,
"Drucker, Peter F. et al.","Five Most Important Questions You Will Ever Ask About Your Organization",1,,PB,470227565,,
"Du Bois, W.E.B.","Souls of Black Folk",15,,PB,451526031,,
"Du Val, Kathleen","Native Ground",1,4,PB,812219392,,
"Dublin, Thomas","Immigrant Voices",1,3,PB,252062906,,
"Dubois, Laurent & John D. Garrigus","Slave Revolution in the Caribbean 1789-1804",7,,PB,31241501X,,2012S
"Ducomte, Jean-Michel","La Laicite",,,PB,2745903276,French,
"Duff, Alan","Once Were Warriors",1,,PB,679761810,,2011S
"Dugatkin, Lee Alan","Principles of Animal Behavior",2,,HB,393976599,Biology,
"Dumas, Alexandre","La Dame aux Camelias",,,PB,226608318X,French,
"Dumielle, Isabelle","Ces Textes qui ont marque l'Histoire de France",,,PB,204732193,French,
"Duneier, Mitchell","Slim's Table: Race, Respectability, and Masculinity",,,PB,336170314,,
"Dunieier, Mitchell",Sidewalk,,,PB,374527259,,
"Dunn, J.R.","Days of Cain",1,,PB,380790491,,
"Duras, Claire de",Ourika,3,3,PB,873527798,French,2011F
"Duras, Marguerite","Destroy, She Said",2,,PB,80215154X,,2011S
"Duras, Marguerite","Hiroshima Mon Amour",31,9,PB,802131042,French,2011F
"Duras, Marguerite","La Douleur",,5,PB,2070387046,French,2012S
"Duras, Marguerite",L'Amant,,2,PB,2707306959,French,
"Durkheim, Emile","Elementary Forms of Religious Life",1,2,PB,29179373,,
"Durrenmatt, Friedrich","Der Besuch der Alten Dame",17,,PB,395040892,German,
"Durrenmatt, Friedrich","Der Besuch der Alten Dame",,,PB,3257208359,German,
"Durrenmatt, Friedrich","Romulus der Grofse",,,PB,3257208324,German,
"Durrenmatt, Friedrich","Visit: A Tragi-comedy",,3,PB,802130666,,
"Dwyer, Rachel","Filming the Gods: Religion and Indian Cinema",,,PB,415314259,,
"Earhart, H. Byron","Japanese Religion: Unity and Diversity",1,,PB,534176941,,
"Easterly, William","White Man's Burden",5,,PB,143038825,,
"Ebrey, Patricia Buckley","Chinese Civilization",2,,PB,02908752X,,
"Eck, Diana L.",Darsan,3,3,PB,231112653,,
"Eck, Diana L.","Encountering God",9,,PB,807073032,,
"Edelman, Bernard","Dear America",2,,PB,393323048,,
"Edelman, Gerald M.","Second Nature",,3,,,,
"Edgeworth, Maria",Belinda,3,,PB,192837095,,
"Edgeworth, Maria","Castle Rackrent and Ennui",7,,PB,140433201,,
"Edmunds, Lowell","Approaches to Greek Myth",,,PB,801838649,Ecology,2011S
"Edmunds, R. David & Frederick E. Hoxie & Neal Salisbury","People: A History of Native America Volume 1: to 1861",1,,PB,618731393,,
"Edwards, Anne Michaels","Writing to Learn in Political Science",3,2,PB,72437804,,
"Egerton, Douglas R.","Gabriel's Rebellion",4,,PB,807844225,,
"Eggers, Dave","Best American Nonrequired Reading",1,2,PB,547241609,BOX,2011S
"Eggers, Dave","What is the What",18,,PB,307385901,,2012S
"Ehrenreich, Barbara","Bait and Switch",1,2,HB,805076069,,
"Ehrenreich, Barbara","Fear of Falling",15,,PB,60973331,,
"Ehrenreich, Barbara","Nickel and Dimed",,4,,,,
"Ehrlich, Robert","Nine Crazy Ideas",2,,HB,691070016,,
"Eichberg, Rob","Coming Out",2,,PB,452266858,,
"Einhard & Notker the Stammerer","Two Lives of Charlemagne",1,,PB,140455052,,
"Einstein, Albert","Relativity: the Special and the General Theory",6,,PB,143039822,Physics/Geology,
"Eisenach, Eldon J.","Next Religious Establishment",,,PB,847696197,,
"Eisner, Mark","Essential Neruda Poems",,,PB,872864286,Spanish,
"Eley, Geoff","Forging Democracy",2,2,PB,195044797,,
"Eliade, Mircea","Sacred and the Profane",,5,PB,15679201X,,
"Eliot, T.S.","The Waste Land, Prufrock and Other Poems",,,PB,486400611,,
"Elkins, Stanley & Eric McKitrick","Age of Federalism",8,3,PB,19509381X,,
"Ellis, Anne","Life of an Ordinary Woman",2,,PB,803267045,,
"El-Mahdi, Rabab & Philip Marfleet","Egypt the Moment of Change",,,PB,1848130210,,2012S
"Elseley, Loren","Immense Journey",,,PB,394701577,,2012S
"Ely, John Hart","Democracy and Distrust",14,,PB,674196376,,
"Ember, Carol R. & Melvin Ember & Peter N. Peregrine",Anthropology,10,,"PB w/CD",130918369,Anthropology,
"Ember, Carol R. & Melvin Ember & Peter N. Peregrine",Anthropology,12,3,PB,132277532,Anthropology,2012S
"Embree, Ainslie & Mark C. Carnes","Defining a Nation",1,2,PB,321355850,,2011S
"Emecheta, Buchi","Joys of Motherhood",,,PB,807609501,,
"Emerson, Ralph Waldo","Self-Reliance and Other Essays",,,PB,486277909,,
"Emerson, Robert M. & Rachel I. Fretz & Linda L. Shaw","Writing Ethnographic Fieldnotes",7,,PB,226206815,,
"Endicott, Kirk & Robert Welsch","Taking Sides: Clashing Views in Anthropology",4,,PB,73515229,,2012S
"Endicott, Kirk M. & Robert Welsch","Taking Sides",1,,PB,72388854,,2011S
"Endo, Shusaku","Deep River",7,,PB,811212890,,
"Endo, Shusaku",Silence,25,2,PB,800871863,,
"Enstad, Nan","Ladies of Labor, Girls of Adventure",2,,PB,231111037,,
Epictetus,"Art of Living",,,PB,62513222,,
"Epstein, Mark","Going to Pieces Without Falling Apart",5,,PB,767902351,,
"Epstein, Richard A.","Overdose: How Excessive Government Regulation Stifles Pharmaceutical Innovation",1,2,HB,300116640,,2011S
"Epstein, Steven",Inclusion,1,,HB,226213099,,
"Erdrich, Louise",Tracks,,,PB,60972459,,
"Erickson, Paul A. & Liam D. Murphy","History of Anthropological Theory",2,,PB,1551115263,Square,2010F
"Eriksen, Thomas Hylland","Engaging Anthropology",,,PB,1845200659,,
"Eriksen, Thomas Hylland","History of Anthropology",1,2,PB,74531386X,,
"Erikson, Kai T.","Everything in Its Path",2,33,PB,671240676,,2012S
"Ernaux, Annie","Passion Simple",,,PB,2070388409,French,
"Ernaux, Annie","Une Femme",,2,PB,2070382117,French,
"Ernest, John","Running a Thousand Miles for Freedom",2,4,PB,158390011X,,
"Ernst, Carl W.","Following Muhammad",4,,PB,807855775,,2011S
"Ernst, Carl W. & Bruce B. Lawrence","Sufi Martyrs of Love",1,2,PB,1403960275,,
"Ervin, Alexander M.","Applied Anthropology Tools and Perspectives for Contemporary Practice",2,,PB,205414095,Anthropology,2011S
"Ervin, Gerard L. & Larry McLellan & Sophia Lubensky & Donald K. Jarvis","Nachalo Book Two",2,4,HB,73655147,Russian,2011S
"Esack, Farid","On Being A Muslim: Finding a Religious Path in the World Today",,2,PB,1851686919,BOX,2011S
"Esack, Farid","Qur'an: A User's Guide",,,PB,1851683543,,2011S
"Esping-Andersen, Gosta","Three Worlds of Welfare Capitalism",10,,PB,691028575,,2011S
"Esposito, John L.","Islam: the Straight Path",3,,PB,195112342,,
"Esposito, John L. & Darrell J. Fasching & Todd Lewis","World Religions Today",3,3,PB,195102533,,
"Esquibel, Catriona Rueda","With Her Machete in Her Hand: Reading Chicana Lesbians",1,2,PB,292712758,,2011S
"Esquivel, Laura","Like Water for Chocolate",,,HB,385420161,,2011S
"Esquivel, Laura",Malinche,1,,HB,74329033X,,
"Essien-Udom, E.U.","Black Nationalism",8,,PB,226218538,,
Euclid,"Thirteen Books of the Elements Books 1 and 2",2,,PB,486600882,,2012S
Euripides,Bakkhai,1,4,PB,195125983,,
Euripides,Medea,,,HB,1416592235,,
"Evans, Sara M.","Born for Liberty",6,2,PB,684834987,,
"Evans, Sara M.","Personal Politics",,,PB,394742281,,
"Evans, Sara M.","Tidal Wave",1,,HB,29099129,,
"Evans-Pritchard, E.E.",Nuer,,2,PB,195003225,,
"Ezekiel, Judith","Feminism in the Heartland",,,PB,81425098X,,
"Fadiman, Anne","Spirit Catches You and You Fall Down",27,2,PB,374525641,Square,2010F
"Fadiman, Anne","Spirit Catches You and You Fall Down",25,,PB,374525641,,2010F
"Fagan, Brian","Great Warming",4,,HB,1596913929,,2011F
"Fagan, Brian M.","Ancient North America",4,2,PB,500285322,,
"Fagan, Brian M.","Great Journey the Peopling of Ancient America",2,,PB,813027562,,2011S
"Fagan, Brian M.","Great Journey: the Peopling of Ancient America",1,,PB,81302756X,Square,2011S
"Fagan, Brian M.","Great Warming",4,,HB,1596913929,,
"Fagan, Brian M.","Long Summer",1,,PB,465022823,,
"Falk, Dean","Primate Diversity",1,,PB,393974286,,
"Faludi, Susan",Stiffed,1,4,PB,380720450,,
"Fang, Zhihui","Litaracy Teaching and Learning",,,PB,131181785,,
"Fanon, Frantz","Wretched of the Earth",2,,PB,802141323,,
"Faragher, John Mack & Mari Jo Buhle & Daniel Czitrom & Susan H. Armitage","Out of Many: History of the American People Volume 1",5,17,PB,131944614,History,
"Farmer, Ann K. & Richard A. Demers","Linguistics Workbook",4,2,PB,262561433,Linguistics,
"Farnham, Nicholas H. & Adam Yarmolinsky","Rethinking Liberal Education",2,,HB,195097726,,
"Fasold, Ralph W. & Jeff Connor-Linton","Introduction to Language and Linguistics",1,3,PB,521612357,Linguistics,
"Fattah, Moataz A.","Democratic Values in the Muslim World",1,3,PB,1588265456,,
"Faulkner, William","Light in August",,,PB,679732268,,
"Faust, Drew Gilpin","Mothers of Invention",2,2,PB,807855737,,
"Fayet, Aurelien & Michelle Fayet","L'Histoire de France tout simplement!",10,,PB,2212543919,French,2012S
"Feagin, Joe R. & Clairece Booher Feagin","Racial and Ethnic Relations",8,,PB,135086612,,2012S
"Featherstone, Liza","Students Against Sweatshops",,,PB,1859843026,,
"Feenberg, Andrew and Jim Freedman","When Poetry Ruled the Streets: The French May Events of 1968",,,PB,791449661,,2011S
"Feiler, Bruce","Abraham: A Journey to the Heart of Three Faiths",1,2,PB,60525096,,
"Feinberg, Leslie","Stone Butch Blues",,3,PB,156341029X,BOX,2011S
"Feinberg, Walter & Henry Rosemont, Jr.","Work, Technology, and Education",,,HB,252002520,,
"Felder, Cain Hope","Stony the Road We Trod",10,,PB,800625013,,
"Feldman, Noah","Divided by God",1,4,PB,374530386,,
"Felleisen, Matthias & Daniel P. Friedman","Little Java, a Few Patterns",2,,PB,262561158,,2010F
"Fenton, John Y. et al.","Religions of Asia",3,5,PB,312057539,,2010F
"Ferguson, James","Anti-Politics Machine",,,PB,816624372,,
"Ferguson, Margaret & Mary Jo Salter & Jon Stallworthy","Norton Anthology of Poetry",4,3,PB,393968200,"Poetry Anthology",
"Ferguson, Susan J.","Mapping the Social Landscape",4,3,PB,72878991,Square,2012S
"Ferguson, Susan J.","Mapping the Social Landscape",5,4,PB,73528076,,2012S
"Ferguson, Susan J.","Shifting the Center",3,,PB,72825855,,2011S
"Ferguson, Wallace K. & Garrett Mattingly & E. Harris Harbison & Myron P. Gilmore & Paul Oskar Kristeller","Facets of the Renaissance",1,,PB,,,
"Ferlinghetti, Lawrence","Coney Island of the Mind",17,,PB,,,2011S
"Fernea, Elizabeth Warnock","Guests of the Sheik",,2,PB,385014856,,2010F
"Ferrell, Jeff","Tearing Down the Streets: Adventures in Urban Anarchy",1,4,PB,140396033X,,
"Fewsmith, Joseph","China Since Tiananmen",,,PB,521001056,,
"Fewsmith, Joseph","Elite Politics in Contemporary China",1,,PB,765606879,,
"Field, John",Psycholinguistics,,,PB,415276004,,
"Fike, Rupert","Voices from the Farm",1,,PB,157067051X,,
"Finch, Annie & Kathrine Varnes","Exaltation of Forms",3,,PB,472067257,,
"Findlen, Barbara","Listen Up",2,2,PB,1580050549,,
"Fineberg, Jonathan","Art Since 1940: Strategies of Being",2,,HB,131839786,,
"Fineberg, Joshua","Classical Music, Why Bother?",1,3,PB,415971748,,
"Finegan, Edward","Language Its Structure and Use",5,3,PB,1413030556,,2011S
"Fingarette, Herbert","Confucius: the Secular as Sacred",24,,PB,61316822,,
"Fingarette, Herbert","Confucius: the Secular as Sacred",9,4,PB,1577660102,,
"Finnegan, Margaret","Selling Suffrage",1,5,PB,231107390,,
"Fiorina, Morris P.","Culture War?",3,7,PB,32127640X,,
"Fireside, Daniel & John Miller","Real World Macro",23,2,PB,1878585592,Economics,
"Fischer, David Hackett","Albion's Seed: Four British Folkways in America",,,PB,195069051,,
"Fischer, Edward F. & R. McKenna Brown","Maya Cultural Activism",1,,PB,292708513,,
"Fishbane, Michael A.",Judaism,,2,PB,60626550,,
"Fisher, Roger & William Ury","Getting to Yes: Negotiation Agreement Without Giving In",,3,PB,140157352,,
"Fisher, William F.","Toward Sustainable Development",1,,PB,1563245256,,
"Fisk, Larry & John Schellenberg","Patterns of Conflict Paths to Peace",,3,PB,1551111543,,
"Fitton, J. Lesley","Discovery of the Greek Bronze Age",,,PB,674211898,,
"Fitzgerald, F. Scott","Babylon Revisited and Other Stories",2,,PB,684179814,,
"Fitzgerald, F. Scott","Great Gatsby",,,PB,,,
"Fitzpatrick, Sheila","Everyday Stalinism",,3,PB,195050010,,2011S
"Fitzpatrick, Sheila","Russian Revolution",12,,PB,192802040,,2011S
"Flaes, Rob Boonzajer","Brass Unbound",2,3,HB,9068322788,,
"Flannery, Kent V.","Early Mesoamerican Village",6,,PB,122598520,,
"Flannery, Tim","Future Eaters",1,,PB,802139434,,
"Flaubert, Gustave","Madame Bovary",,,PB,2080706578,French,
"Flaubert, Gustave","Trois Contes",,6,PB,2070409295,French,2011F
"Flegel, Melinda J.","Sport First Aid",11,2,PB,880115564,Coaching,
"Fligner, Michael A. & William I. Notz","Study Guide for Moore's Basic Practice of Statistics",4,,PB,716777250,Mathematics,2012S
"Flint, S. J. & L. W. Enquist & V. R. Racaniello & A. M. Skalka","Principles of Virology Volume II Pathogenesis and Control",3,,PB,1555814809,,2012S
"Flood, Gavin","Introduction to Hinduism",,4,PB,521438780,,
"Florida, Richard","Rise of the Creative Class",2,,PB,465024777,,
"Flynn, Eileen P.","Issues in Health Care Ethics",1,,PB,130122300,,
"Foer, Jonathan Safran","Everything is Illuminated",1,,PB,60529709,,2011S
"Fogelin, Robert J. & Walter Sinnott-Armstrong","Understanding Arguments",7,,PB,53462586X,,
"Foner, Eric","Story of American Freedom",4,2,PB,393319628,,
"Foner, Nancy","In a New Land",2,4,PB,814727468,,
"Fornes, Maria Irene","Fefu and Her Friends",5,,PB,155554052X,,
"Forrest, Joshua B.","Subnationalism in Africa",1,,PB,1588263096,,
"Forster, E.M.","Room with a View",14,,PB,141183292,,
"Forster, E.M.","Where Angels Fear to Tread",,2,PB,486277917,,
"Fossum, Robert H. & John K. Roth","American Ground: Vistas, Visions and Revisions",4,4,PB,1557781141,,
"Foster, Hannah W.",Coquette,23,3,PB,195042395,,2011S
"Foster, James C. & Susan M. Leeson","Constitutional Law",3,3,PB,135687756,,
"Foster, Robert & Majid Ghassemi & Alma Cota","Solar Energy: Renewable Energy and the Environment",1,,HB,1420075663,,
"Foster, Susan Leigh","Dances that Describe Themselves",,4,PB,819565512,,
"Foucault, Michel","History of Sexuality Volume 1",31,,PB,679724699,,2011S
"Fournier, Michelle","Encuentros Efimeros Photographs of Neotropical Fauna",,,PB,,,2011F
"Fowler, H. Ramsey & Jane E. Aaron","Little, Brown Handbook",9,,HB,321103505,,
"Frank, Ellen & John Miller & Alejandro Reuss","Real World Macro",18,,PB,1878585185,Economics,
"Frankforter, A. Daniel","Medieval Millenium",2,,PB,130978515,,
"Franklin, Benjamin","Benjamin Franklin Autobiography and Other Writings",36,,PB,451528107,Crate,2010F
"Franklin, Benjamin","The Autobiography and Other Writings",,,PB,451524973,,
"Franklin, John Hope & Alfred A. Moss Jr.","From Slavery to Freedom",8,2,PB,72295813,,
"Fraser, James W.","Between Church and State",1,2,PB,312233396,,
"Fratkin, Elliot M.","Ariaal Pastoralists of Kenya: Studying Pastoralism, Drought, and Development in Africa's Arid Lands",,3,PB,205391427,,2010F
"Fratkin, Elliot M.","Ariaal Pastoralists of Kenya: Surviving Drought and Development in Africa's Arid Lands",,2,PB,205269974,,2010F
"Frazier, Ian","On the Rez",,,HB,374226385,,
"Frazier, Thomas R.","Readings in African-American History",3,2,PB,534523730,,
"Freedman, Estelle B.","Essential Feminist Reader",2,,PB,812974607,,2012S
"Freedman, Estelle B.","Maternal Justice",1,3,PB,226261506,,
"Freeman, Chas W.","Arts of Power: Statecraft and Diplomacy",,,PB,1878379658,,
"Freeman, Scott & Jon C. Herron","Evolutionary Analysis",3,2,HB,131018590,Biology,2011S
"Frei, Norbert","Adenauer's Germany and the Nazi Past",1,2,HB,231118821,,
"French, Hilary","Vanishing Borders",2,,PB,393320049,,
"French, John D.","Brazilian Workers ABC",1,,PB,807843687,,
"Freud, Sigmund","Civilization and Its Discontents",3,,PB,393301588,,2011S
"Freud, Sigmund","Civilization and Its Discontents",,2,PB,393301583,,2011S
"Freud, Sigmund","Dora: An Analysis of a Case of Hysteria",5,,PB,684829460,,
"Freud, Sigmund","Freud Reader",,,PB,393314030,,
"Freud, Sigmund","Interpretation of Dreams",,2,PB,,,2011S
"Freud, Sigmund","Introductory Lectures on Psycho-analysis",1,,PB,871401185,,
"Freud, Sigmund","Outline of Psychoanalysis",6,,PB,141184043,,2011S
"Freud, Sigmund","Outline of Psychoanalysis",2,,PB,393001512,,2011S
"Freud, Sigmund","Studies in Parapsychology",5,,PB,,,2011S
"Freud, Sigmund","Three Case Histories",1,,PB,20766505,,2011S
"Freund, John E. & Gary A. Simon","Statistics a First Course Instructor's Edition",5,,HB,138454132,Mathematics,
"Frieden, Jeffry A. & David A. Lake","International Political Economy",4,,PB,312189699,,2011S
"Friedman, Betty","Feminine Mystique",3,2,PB,393322572,,
"Friedman, Tami J. & John Miller","Real World Macro",19,,PB,187858524X,Economics,
"Friel, Brian",Translations,28,,PB,571117422,,
"Fries, Kenny","Body, Remember",1,4,PB,299190544,,
"Friis, Robert H. & Thomas A. Sellers","Epidemiology for Public Health Practice",4,,PB,763751616,,2011S
"Frisch, Max","Bidermann und die Brandstifter",5,,PB,3518188248,German,2012S
"Frisch, Max","Biedermann und Die Brandstifter",,2,PB,395040906,German,
"Frost, Robert","Robert Frost's Poems",2,,PB,312983328,,
"Frumkin, Norman","Tracking America's Economy",4,,PB,765612410,,
"Frumkin, Peter","On Being Nonprofit",1,3,PB,674018354,Square,2010F
"Frye, Northrop & Sheridan Baker & George Perkins","Harper Handbook to Literature",1,,PB,60422173,,
"Fu, Shen","Six Records of a Floating Life",,,PB,140444297,,2012S
"Fulbrook, Mary","Concise History of Germany",2,,PB,521540712,German,2010F
"Fulghum, Robert","All I Really Need to Know I Learned in Kindergarten",1,,PB,80410526X,,2011S
"Fulwiler, Toby & Alan R. Hayakawa","College Writer's Reference",3,6,PB,130909564,Reference,2011S
"Fulwiler, Toby & Alan R. Hayakawa","College Writer's Reference",4,9,PB,131787306,Reference,2011S
"Fulwiler, Toby & Alan R. Hayakawa","College Writer's Reference",5,,PB,,Reference,2011S
"Furet, Deborah","Passing of an Illusion",3,,PB,226273415,,
"Gable, Craig","Ebony Rising",1,,PB,253216753,,
"Gaddis, John Lewis","United States and the Origin of the Cold War 1941-1947",,5,,23112239X,,2012S
Galileo,"Two New Sciences Including Centers of Gravity and Force of Percussion",2,,PB,921332505,,2012S
"Gallagher, Michael & Michael Laver & Peter Mair","Representative Government in Modern Europe",3,2,PB,72322675,,
"Gallagher, Michael & Michael Laver & Peter Mair","Representative Government in Modern Europe",4,,PB,07297706X,,
"Gallegos, Romulo","Dona Barbara",3,3,PB,8437615399,Spanish,
"Gallian, Joseph A.","Contemporary Abstract Algebra",6,,HB,618514717,Floor,2011S
"Gallian, Joseph A.","Contemporary Abstract Algebra",7,,HB,547165099,,2011S
"Gallop, Jane","Feminist Accused of Sexual Harassment",3,,PB,822319187,,
"Galotti, Kathleen M.","Cognitive Psychology In and Out of the Laboratory",4,2,HB,495099635,Psychology,2011S
"Galotti, Kathleen M.","Cognitive Psychology In and Out of the Laboratory",3,3,HB,534600840,Psychology,2011S
"Gantz, Jeffrey",Mabinogion,11,,PB,140443223,,
"Garber, Marjorie","Shakespeare After All",4,,PB,385722141,,2011S
"Garcia, Eugene","Student Cultural Diversity",3,,PB,618122087,,
"Garros, Veronique, et al.","Intimacy and Terror: Soviet Diaries of the 1930s",,,PB,1565843983,,
"Gaskell, Elizabeth",Cranford,6,4,PB,192832093,,
"Gasperetti, David","Reference Grammar for B nyth Russian Grammar in Context",2,,PB,13189921X,Russian,2010F
"Gates, Henry Louis Jr.","Bearing Witness",,2,PB,679735208,,
"Gates, Henry Louis Jr.","Classic Slave Narratives",12,2,PB,451528247,,
"Gates, Henry Louis Jr.","Colored People",1,2,PB,67973919X,,
"Gates, Henry Louis Jr. & Nellie Y. McKay","Norton Anthology of African American Literature",2,,PB,393977783,Anthology,2012S
"Gates, Linda","Voice for Performance",,2,HB,1557833966,,2010F
"Gay, Peter",Mozart,9,,HB,670882380,,
"Gay, Peter","Weimar Culture: the Outsider as Insider",3,2,PB,393322394,,
"Geary, Patrick J.","Readings in Medieval History",3,3,PB,1551115506,,
"Gebelein, Charles G.","Chemistry and Our World",1,,PB,697165744,Chemistry,
"Geertz, Clifford","Islam Observed",6,,PB,226285111,,
"Geismar, Alain","Mon Mai 1968",,,PB,2262028251,French,
"Genet, Jean","Les Negres",,,PB,2070371808,French,
"Gentles, Frederick & Melvin Steinfield","Hangups From Way Back",2,,PB,63827859,,
"Geoghegan, Thomas","Secret Lives of Citizens",1,,PB,226287645,,
